的	40529650
一	18584230
了	18338520
是	16552880
不	15728670
我	15576520
在	10112080
人	9711360
有	9401460
这	9297050
他	9269480
来	7815850
个	7790780
你	7491840
说	6321610
上	6278330
到	6060840
就	5955620
着	5881750
大	5704500
们	5658610
道	5597330
那	5230780
么	5124070
也	5009000
地	4637800
子	4552430
下	4504440
出	4369620
时	4323350
看	4230190
要	4185070
她	4145850
中	4046130
没	3982670
然	3866540
里	3860950
为	3850400
过	3849280
自	3825320
好	3824260
得	3785580
去	3783550
可	3723910
会	3595240
天	3580790
还	3569540
心	3453490
后	3447490
以	3436280
小	3362880
都	3341330
和	3293450
对	3263430
想	3234720
能	3125730
起	3065820
之	2830800
手	2674030
而	2673590
只	2660320
生	2616400
什	2543490
身	2539030
头	2535770
样	2512660
事	2491320
多	2432250
己	2406990
家	2395150
面	2387880
知	2316340
开	2289830
如	2269470
无	2200520
现	2192010
很	2104190
点	2095990
前	2090190
发	2079110
经	2066800
情	2043390
把	2000870
老	1982260
些	1976570
话	1972750
已	1960040
又	1954490
声	1933960
意	1932670
于	1904310
回	1900800
笑	1884540
所	1861730
但	1846500
眼	1841260
成	1832310
方	1828860
年	1825530
见	1823190
当	1810660
女	1771380
真	1746180
两	1739680
力	1737650
气	1700120
从	1671880
用	1670140
长	1633050
动	1618940
间	1616130
国	1613990
走	1591000
让	1580040
被	1579320
给	1548410
正	1545520
问	1527500
打	1518360
明	1508960
儿	1501380
法	1474190
才	1461800
几	1454270
行	1452180
三	1447490
定	1442760
此	1435990
进	1425650
再	1412560
种	1398040
将	1385020
实	1378320
同	1377360
最	1360650
本	1358840
向	1354330
分	1353190
十	1352340
学	1352000
高	1351680
第	1347940
感	1332300
怎	1327650
神	1322140
听	1290380
边	1289880
作	1284130
其	1273250
吧	1265940
却	1252650
口	1251120
觉	1249840
啊	1246390
因	1229830
白	1223300
次	1215520
军	1198430
做	1187890
外	1177060
门	1176540
光	1151390
风	1145760
主	1135910
住	1114070
果	1109100
与	1108640
全	1098450
二	1092400
候	1087790
公	1082610
相	1073400
吗	1068570
等	1054680
别	1053960
色	1047510
死	1042680
张	1041560
部	1038900
太	1033990
日	1024590
少	1022010
战	1013640
理	1002950
直	1002140
重	1001310
王	996517
像	992181
脸	972097
比	971486
快	969277
何	959852
水	957658
